breed;animal_type
австралийская борзая, кенгуровая;2
австралийская овчарка;2
австралийский терьер;2
азавак;2
аиди, атласская овчарка;2
айну;2
акбаш;2
Акита - ину;2
акита ину;2
акита-ину;2
алабай;2
алапахский чистокровный бульдог;2
альпийский спаниель;2
альпине даксбракке;2
аляскинский маламут;2
американский бульдог;2
американский водяной спаниель;2
американский кокер спаниель;2
американский питбультерьер;2
американский стафордшир-терьер;2
американский той-фокстерьер;2
американский фоксхаунд;2
американский эскимоский шпиц;2
анатолийский карабаш;2
английская овчарка;2
английский бульдог;2
английский водяной спаниель;2
английский кокер спаниель;2
английский мастиф;2
английский пойнтер;2
английский сеттер;2
английский спрингер-спаниель;2
английский той-терьер;2
английский фоксхаунд;2
аппенцеллер;2
аргентинский дог;2
арденский бувье;2
армант, египетская овчарка;2
артезиано-нормандский бассет;2
артуазская гончая;2
арьежская гончая;2
афганская борзая;2
афганская гончая;2
аффенпинчер;2
баварская горная гончая;2
балканская гончая;2
банджарская борзая;2
барбе;2
бардино махеро;2
басенджи;2
баскетмейкер;2
бассетхаунд;2
беардед колли (хайланд колли);2
бедлингтон терьер;2
белый английский терьер;2
бельгийская лакенуа;2
бельгийская малинуа;2
бельгийский брак;2
бельгийский гриффон;2
бельгийский грюнендаль;2
бельгийский ловенар;2
бельгийский тервюрен;2
бергамаско, бергамская овчарка;2
бернер лауфхунд;2
бернская горная пастушья собака;2
бернский зенненхунд;2
беспородная;2
бигль;2
бийи;2
бишон фризе;2
бладхаунд;2
блю лейси;2
бобтейл, староанглийская овчарка;2
бойкин спаниель;2
боксёр;2
Болонка;2
болонский бишон;2
большая англо-французская гончая;2
большая голубая гасконская гончая;2
большая древесная гончая;2
большая пиринейская собака;2
большая швейцарская горная пасту;2
большой вандейский гриффон;2
большой мюнстерлендер;2
большой немецкий шпиц;2
большой французский брак;2
бордер колли;2
бордер терьер;2
бордосский дог (французский мастифф);2
борзой, русская псовая борзая;2
бородатая колли;2
босерон;2
боснийская грубошерстная гончая;2
бостон-терьер;2
брабансон;2
брак дюпюи;2
брандл-брак;2
бретонский эпаньоль;2
бриар;2
бруно-де-юра;2
брюссельский гриффон;2
булленбайзер;2
бульдог англии старого типа;2
бульмастиф;2
бультерьер;2
бультерьер миниатюрный;2
бурбонский брак;2
бурбуль;2
веймаренер;2
Вельш корги;2
вельш корги кардиган;2
вельш корги пемброук;2
вельш-спрингер-спаниель;2
вельш-терьер;2
венгерская борзая;2
вест хайленд уайт терьер;2
вестфальский таксообразный брак;2
ветерхаунд, голландский спаниель;2
водяной спаниель;2
водяной твид спаниель;2
вольпино итальано;2
восточно-европейская овчарка;2
восточносибирская лайка;2
выжла, венгерская легавая;2
гавайская собака пои;2
гаванский бишон;2
гамильтонстёваре;2
ганноверская гончая;2
германский дратхаар;2
германский жесткошерстный пойнте;2
германский короткошерстный пойнт;2
герта пойнтер;2
гладкошерстный ретривер;2
гладкошерстный фокстерьер;2
глен-оф-имаал-терьер;2
голая собака инков;2
голландская овчарка;2
голландский смаусхонд;2
голландский тульпхонд;2
голубой гасконский бассет;2
голубой овернский брак;2
голубой пикардийский эпаньоль;2
голубой хиллер;2
голштинская гончая;2
гончая плотта;2
гончая стефена;2
гончая тальбота;2
гордон-сеттер;2
гранди поденгу португезу;2
грейхаунд;2
гренландская собака;2
греческая заячья гончая;2
греческая овчарка;2
Гриффон;2
гриффон кортальса;2
далматин;2
датский брохольмер;2
денди-динмонт терьер;2
джек рассел терьер;2
джек-рассел-терьер;2
джиндо;2
Доберман;2
доберман-пинчер;2
дратхаар;2
древер;2
древесная тенессийская тигровая;2
дрентская куропаточная собака;2
другая;2
дункер;2
западно-сибирская лайка;2
зауерландский брак;2
зауерландский хольцбрак;2
золотистый ретривер;2
ирландский водяной спаниель;2
ирландский волкодав (вольфхаунд);2
ирландский красно-белый сеттер;2
ирландский сеттер;2
ирландский терьер;2
исландская собака;2
испанский брак, испанская легавая;2
испанский гальго, испанская борзая;2
испанский мастиф;2
истрийская гончая;2
итальянский брак;2
йемтхунд, шведский элкхаунд;2
йоркширский терьер;2
ка де бо;2
Кавалер кинг чарльз спаниель;2
кавказская овчарка;2
кай кен;2
кай лео;2
кан да серра ди айреш;2
кан да серра ди эштрела;2
кан ди агуа;2
кангал;2
кане корсо;2
каракачанская овчарка;2
карело-финская лайка;2
карельская медвежья собака;2
карликовый пинчер;2
каролинская собака;2
карстская (красская) овчарка;2
каталонская овчарка;2
кеесхонд;2
келпи;2
кентукская шел хип;2
керн-терьер;2
керри блю терьер;2
керри-бигль;2
кисю;2
китайская хохлатая собака;2
кламбер спаниель;2
коикерхондье;2
колли, шотландская овчарка;2
комондор, венгерская овчарка;2
котон де тулеар;2
крапчато-голубой кунхаунд;2
красный кунхаунд;2
кромфорлендер;2
ксолойтцкуинтли;2
кувас;2
кунхаунд уолкера;2
курляндская гончая;2
курцхаар;2
курчавый ретривер;2
куунхаунд;2
лабрадор;2
лабрадор ретривер;2
лабрадор-ретривер;2
лаготто-романьоло;2
лангедокская пастушья собака;2
лангхаар;2
ландсир;2
ланкаширский хилер;2
лапинкойра, финнский лаппхунд;2
лапинпорокойра;2
лапландский шпиц;2
ларри;2
левеск;2
левретка, итальянская борзая;2
лёвхен, львиная собачка;2
лейкланд-терьер;2
леонбергер;2
леопардовая гончая;2
леопардовая собака катахулы;2
лёрчер;2
литовская гончая;2
лудогорская гончая;2
лхасский апсо;2
люненбургская гончая;2
люцернер лауфхунд;2
малая англо-французская гончая;2
малый брабансон;2
малый вандейский бассет-гриффон;2
малый мюнстерлендер;2
малый французский брак;2
мальтез, мальтийский бишон;2
манчестерский терьер;2
маратхская борзая;2
маремма;2
мастино наполетано;2
медвежья канадская собака талтан;2
медиу поденгу португезу;2
метис;2
микадо терьер;2
миниатюрный ксолойтцкуинтли;2
мино;2
миттельшнауцер;2
монтебёф;2
мопс;2
московская сторожевая;2
московский длинношерстный той-терьер;2
московский дракон;2
московский короткошерстный той-терьер;2
мууди;2
немецкая овчарка;2
немецкая оленегонная лайка;2
немецкий вахтельхунд;2
немецкий вольфшпиц;2
немецкий дог;2
немецкий карликовый шпиц;2
немецкий шпиц;2
нивернейский гриффон;2
